Quem quer ser lider não cruza os braços e murmura palavras doces.; (Margaret Thatcher)
Triste época em que vivemos, na qual é mais fácil desintegrar um átomo do que quebrar um preconceito.; (Albert Einstein)
Amigo é quem te socorre, não quem tem pena de ti.; (Thomas Fuller)
Só os solitários conhecem a alegria da amizade. Outros têm suas famílias, mas só para um solitário e um exilado os amigos são tudo.; (Warren G. Harding)
As pessoas realmente ligadas não precisam de ligação física. Quando se reencontram, mesmo depois de muitos anos afastados, sua amizade é tão forte quanto sempre.; (Deng Ming-Dao)
A amizade é um amor que nunca morre.; (Mário Quintana)
Os opostos se distraem; os dispostos se atraem.; (Fernando Anitelli)
Todas as cartas de amor são ridículas. Mas, afinal, só as criaturas que nunca escreveram cartas de amor é que são ridículas.; (Fernando Pessoa)
Autodeboche é um santo remédio para as horas de crise. Auto-estima também. E o negócio é renascer cada vez melhor.; (Rita Lee)
Quase sempre a maior ou menor felicidade depende do grau da decisão de ser feliz.; (Abraham Lincoln)
A felicidade é a única coisa que podemos dar sem possuir.; (Voltaire)
É fácil amar os que estão longe. Mas nem sempre é fácil amar os que vivem ao nosso lado.; (Madre Teresa de Calcutá)
Todos os dias deveríamos ouvir um pouco de música, ler uma boa poesia, ver um quadro bonito e, se possível, dizer algumas palavras sensatas.; (Goethe)
Livros não mudam o mundo, quem muda o mundo são as pessoas. Os livros mudam as pessoas.; (Caio Graco)
Una ao esforço a inteligência; trabalhará menos e fará mais.; (Carlos Bernardo González Pecotche)
A mentira é uma verdade que se esqueceu de acontecer.; (Mário Quintana)
Melhor que o esforço de guerra não seria o descanso de paz?; (Marcelo Salles)
O mais rico é quem se contenta com o mínimo.; (Sócrates)
Se você acha que a educação custa caro, tente a ignorância.; (Berek Bok)
Uma única ação é melhor que mil suspiros.; (Shalom Dov Ber)
A linguagem é uma fonte de mal entendidos.; (Antoine de Saint-Exupéry)
Mas eu desconfio que a única pessoa livre, realmente livre, é a que não tem medo do ridículo.; (Luis Fernando Veríssimo)
Jamais diga uma mentira que não possa provar.; (Millôr Fernandes)
Não esqueçamos de que quando um pai dá um conselho, já viveu tudo o que este conselho encerra e, ao expressá-lo, quer evitar ao filho o que para ele foi motivo de sofrimento ou causou-lhe danos.; (Carlos Bernardo González Pecotche)
Comporta-te com teus pais como pretendes que teus filhos se comportem contigo.; (Giacomo Leopardi)
Os pais são os ossos nos quais os filhos afiam seus dentes.; (Peter Ustinov)
Não há alegria para o coração de um pai, que valha a certeza da felicidade de um filho.; (Júlio Dantas)
